Data point,Count,Police Shooting rate,Population,"Total Crime per 10,0000","Violent Crime per 10,0000","Property Crime per 10,0000",Murder,Rape*,Robbery,assault,Burglary,Theft,Car Theft,Land area,Gun rate,Joined year
NY 2015,18.0000,0.2026,19747183.0000,1986.8000,380.4000,1606.4000,3.1000,22.4000,120.9000,225.3000,223.4000,1305.7000,77.3000,47224.0000,0.1030,1788
NY 2016,17.0000,0.2026,19745289.0000,1921.8000,376.2000,1545.6000,3.2000,23.1000,113.0000,228.3000,201.7000,1271.0000,72.9000,47224.0000,0.1030,1788
NY 2017,15.0000,0.2042,19590719.0000,1858.7000,361.1000,1497.6000,2.8000,32.1000,102.7000,223.5000,178.3000,1251.1000,68.2000,47224.0000,0.1030,1788
NY 2018,14.0000,0.2048,19530351.0000,1792.4000,350.8000,1441.6000,2.9000,33.7000,93.1000,221.1000,159.5000,1214.7000,67.3000,47224.0000,0.1030,1788
NY 2019,18.0000,0.2056,19453561.0000,1731.9000,358.6000,1373.3000,2.9000,33.8000,92.9000,229.0000,141.9000,1166.1000,65.3000,47224.0000,0.1030,1788
OH 2015,28.0000,0.3447,11605090.0000,2913.5000,296.2000,2617.3000,4.5000,34.4000,108.7000,136.1000,603.1000,1864.3000,149.9000,40953.0000,0.1960,1803
OH 2016,26.0000,0.3444,11614373.0000,2877.8000,300.3000,2577.5000,5.6000,35.7000,107.8000,138.7000,575.9000,1832.3000,169.3000,40953.0000,0.1960,1803
OH 2017,34.0000,0.3429,11664129.0000,2702.1000,296.8000,2405.3000,6.4000,50.0000,96.2000,144.2000,493.1000,1734.5000,177.6000,40953.0000,0.1960,1803
OH 2018,29.0000,0.3426,11676341.0000,2503.1000,294.8000,2208.3000,5.1000,50.1000,82.3000,157.3000,423.6000,1613.8000,170.9000,40953.0000,0.1960,1803
OH 2019,23.0000,0.3422,11689100.0000,2348.9000,293.2000,2055.7000,4.6000,49.0000,75.7000,163.9000,375.5000,1520.4000,159.7000,40953.0000,0.1960,1803
OK 2015,30.0000,1.0237,3907414.0000,3347.5000,428.6000,2918.9000,6.1000,36.3000,77.2000,295.2000,736.6000,1911.2000,271.1000,68679.0000,0.3120,1907
OK 2016,22.0000,1.0195,3923561.0000,3432.7000,449.8000,2982.9000,6.2000,38.5000,80.6000,311.0000,741.7000,1931.4000,309.8000,68679.0000,0.3120,1907
OK 2017,24.0000,1.0171,3932640.0000,3346.3000,457.4000,2888.9000,6.2000,56.5000,76.5000,318.3000,731.0000,1844.7000,313.2000,68679.0000,0.3120,1907
OK 2018,32.0000,1.0152,3940235.0000,3377.9000,474.6000,2903.3000,5.5000,61.7000,71.2000,336.3000,689.8000,1873.0000,340.5000,68679.0000,0.3120,1907
OK 2019,31.0000,1.0109,3956971.0000,3277.1000,431.8000,2845.3000,6.7000,57.3000,59.9000,307.9000,671.7000,1835.5000,338.1000,68679.0000,0.3120,1907
OR 2015,14.0000,0.9939,4024634.0000,3240.9000,265.4000,2975.5000,2.7000,29.6000,53.7000,167.9000,460.7000,2249.0000,265.8000,96003.0000,0.2660,1859
OR 2016,14.0000,0.9772,4093465.0000,3229.0000,264.6000,2964.4000,2.8000,30.8000,55.6000,164.1000,412.0000,2230.0000,322.3000,96003.0000,0.2660,1859
OR 2017,11.0000,0.9646,4146592.0000,3235.2000,280.4000,2954.8000,2.5000,48.0000,59.7000,170.2000,420.0000,2124.4000,410.4000,96003.0000,0.2660,1859
OR 2018,15.0000,0.9565,4181886.0000,3217.3000,290.4000,2926.9000,2.1000,50.6000,60.1000,177.7000,394.9000,2132.8000,399.2000,96003.0000,0.2660,1859
OR 2019,16.0000,0.9484,4217737.0000,3015.0000,284.4000,2730.6000,2.8000,42.2000,54.0000,185.5000,349.1000,2021.5000,360.0000,96003.0000,0.2660,1859
PA 2015,17.0000,0.3127,12791904.0000,2128.6000,315.4000,1813.2000,5.2000,24.3000,101.4000,175.3000,309.4000,1409.0000,94.8000,44820.0000,0.2710,1787
PA 2016,19.0000,0.3129,12784227.0000,2059.1000,316.4000,1742.7000,5.2000,25.3000,96.4000,180.1000,277.8000,1362.8000,102.1000,44820.0000,0.2710,1787
PA 2017,20.0000,0.3127,12790447.0000,1957.3000,313.0000,1644.3000,5.8000,33.0000,92.1000,182.1000,249.6000,1293.4000,101.3000,44820.0000,0.2710,1787
